,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Year
199,Gary Harris,SG,20,DEN,55,6,719,4.6,15.1,0.304,1.5,7.2,0.204,3.1,7.9,0.395,2.4,3.3,0.745,1.5,3.0,4.4,2.0,2.7,0.5,2.6,4.9,13.1,81,109,4.9,0.395,0.475,0.217,3.0,6.7,4.8,5.9,2.7,0.8,13.8,16.6,-1.2,0.5,-0.7,-0.046,-4.2,-0.1,-4.3,-0.4,2015
200,Joe Harris,SG,23,CLE,51,1,493,5.1,12.7,0.4,3.3,8.9,0.369,1.8,3.8,0.47200000000000003,0.9,1.6,0.6,0.7,3.6,4.3,2.7,0.7,0.2,2.8,6.5,14.3,97,111,5.6,0.537,0.7,0.125,1.7,7.8,4.8,7.7,0.7,0.3,17.6,14.1,0.0,0.2,0.2,0.018000000000000002,-2.0,-2.5,-4.5,-0.3,2015
201,Tobias Harris,SF,22,ORL,68,63,2369,9.5,20.5,0.466,1.9,5.2,0.364,7.7,15.3,0.5,4.2,5.3,0.7879999999999999,1.6,7.7,9.3,2.7,1.5,0.8,2.5,2.9,25.1,107,108,16.7,0.551,0.252,0.258,3.4,17.3,10.3,8.8,1.5,1.2,9.8,22.5,3.0,1.8,4.8,0.098,0.4,-0.7,-0.3,1.0,2015
202,Udonis Haslem,PF,34,MIA,62,25,995,5.7,12.7,0.44799999999999995,0.1,0.5,0.2,5.6,12.2,0.45899999999999996,2.4,3.4,0.703,3.8,9.9,13.7,2.4,1.1,0.7,2.2,6.0,13.8,102,106,10.6,0.488,0.042,0.268,8.8,22.1,15.6,7.4,1.1,1.1,13.3,14.6,0.4,1.0,1.4,0.066,-3.3,-0.1,-3.4,-0.4,2015
203,Spencer Hawes,PF,26,LAC,73,15,1274,6.5,16.5,0.39299999999999996,2.2,7.0,0.313,4.3,9.5,0.452,1.8,2.7,0.647,1.2,9.1,10.3,3.5,1.0,2.1,2.4,6.9,16.9,95,104,9.8,0.478,0.424,0.16399999999999998,2.7,19.7,11.4,10.0,1.0,3.4,12.1,17.9,-0.3,1.5,1.2,0.044000000000000004,-2.9,1.0,-1.9,0.0,2015
204,Chuck Hayes,C,31,TOR,29,0,255,4.5,9.3,0.478,0.0,0.0,,4.5,9.3,0.478,1.2,2.2,0.545,3.6,6.7,10.3,4.1,2.0,0.8,1.6,7.5,10.1,111,107,10.4,0.49200000000000005,0.0,0.239,8.1,14.9,11.5,11.3,2.0,1.3,13.6,10.4,0.3,0.2,0.5,0.091,-1.5,1.1,-0.4,0.1,2015
205,Gordon Hayward,SF,24,UTA,76,76,2618,9.8,22.0,0.445,2.4,6.7,0.364,7.4,15.4,0.48100000000000004,7.6,9.4,0.812,1.1,6.5,7.6,6.3,2.2,0.6,4.2,2.7,29.7,111,105,20.2,0.5670000000000001,0.304,0.425,2.4,14.0,8.2,21.7,2.2,0.9,13.8,26.2,5.8,2.9,8.7,0.159,3.3,0.1,3.4,3.6,2015
206,Brendan Haywood,C,35,CLE,22,1,119,6.1,13.1,0.467,0.0,0.0,,6.1,13.1,0.467,3.1,5.7,0.5379999999999999,2.6,10.0,12.7,0.9,0.9,4.4,4.4,7.4,15.3,85,102,9.1,0.49,0.0,0.433,5.9,21.9,14.0,2.5,0.9,6.6,21.9,17.3,-0.2,0.2,0.0,0.008,-7.9,1.3,-6.6,-0.1,2015
207,Gerald Henderson,SG,27,CHO,80,72,2315,8.3,18.9,0.43700000000000006,1.0,3.0,0.331,7.2,15.9,0.457,4.1,4.8,0.848,0.8,5.3,6.1,4.6,1.1,0.5,2.5,3.0,21.6,102,106,13.2,0.514,0.161,0.256,1.7,11.6,6.5,15.6,1.1,0.7,10.5,20.7,1.3,2.3,3.6,0.07400000000000001,-1.2,-0.4,-1.5,0.3,2015
208,Xavier Henry,SF,23,LAL,9,0,86,1.8,7.7,0.231,0.0,0.0,,1.8,7.7,0.231,8.3,14.3,0.583,1.2,1.2,2.4,1.8,1.8,0.0,1.8,3.6,11.9,90,114,4.9,0.424,0.0,1.8459999999999999,2.5,2.7,2.6,4.8,1.8,0.0,11.3,13.7,-0.1,0.0,-0.1,-0.03,-5.5,-2.4,-7.9,-0.1,2015
